Tweet #,Angry,Bored,Excited,Fear,Happy,Negative,Neutral,Positive,Sad,Sarcastic
895,0.552677274,0.114820225,0.061776964,0.112153027,0.063725849,0.638,0.262,0.1,0.094846662,0.620579544
896,0.173803652,0.526073567,0.07872135,0.06740097,0.065436145,0.853,0.124,0.023,0.088564316,0.649125044
897,0.218252586,0.112223745,0.157203831,0.240699785,0.149363381,0.834,0.13,0.036,0.122256672,0.512162816
898,0.325245098,0.060027867,0.090342848,0.153069823,0.116555912,0.693,0.242,0.064,0.254758452,0.544429217
899,0.146986714,0,0.198927538,0.158919223,0.203161993,0.261,0.461,0.278,0.292004532,0.387984179
900,0.56048302,0.031806142,0.017916949,0.099600617,0.011102527,0.97,0.026,0.005,0.279090745,0.571470599
901,0.1691332,0.011464466,0.262392793,0.205459968,0.232696429,0.006,0.029,0.965,0.118853145,0.407802817
902,0.783917851,0.04173946,0.031064158,0.047305045,0.019215048,0.94,0.055,0.005,0.076758439,0.314367491
903,0.299826296,0.098127847,0.153989387,0.17784466,0.109494074,0.476,0.308,0.215,0.160717736,0.622691898
904,0.129617669,0.249852738,0.108417417,0.245966515,0.050650449,0.479,0.481,0.04,0.215495213,0.627887838
905,0.136412909,0.194856413,0.131614049,0.269943621,0.041979947,0.744,0.194,0.062,0.225193061,0.681996713
906,0.570003941,0.182859391,0.018698322,0.073861632,0.016901506,0.905,0.085,0.01,0.137675209,0.56181619
907,0.173267973,0.010476452,0.181436614,0.143987888,0.2780214,0.189,0.306,0.505,0.212809672,0.336586977
908,0.353868158,0.088243657,0.205597082,0.075512536,0.166951688,0.409,0.345,0.246,0.109826879,0.461102866
909,0.321865815,0.199266774,0.053714656,0.157521292,0.019309469,0.85,0.126,0.023,0.248321994,0.74649204
910,0.546246364,0.105568994,0.030640828,0.090094614,0.034472758,0.937,0.054,0.009,0.192976443,0.623330335
911,0.113128122,0.066422194,0.244031067,0.257454354,0.119719736,0.314,0.438,0.248,0.199244526,0.593105109
912,0.156415389,0.121843427,0.148133932,0.196541981,0.230562185,0.499,0.312,0.189,0.146503086,0.472187609
913,0.199276002,0.110387018,0.208313635,0.162082408,0.173771674,0.276,0.252,0.472,0.146169263,0.509034151
914,0.287325096,0.141850666,0.137394246,0.200373284,0.071674702,0.739,0.17,0.091,0.161382005,0.642612399
915,0.469326829,0.132002198,0.032962292,0.103476966,0.03821779,0.917,0.067,0.016,0.224013925,0.730160813
916,0.159899683,0.142288027,0.117504524,0.266491928,0.063132127,0.784,0.176,0.04,0.250683712,0.709113882
917,0.085261345,0.025698985,0.362660258,0.125319436,0.368340955,0.026,0.212,0.761,0.032719021,0.203046409
918,0.433558418,0.160198691,0.08330142,0.13040816,0.058883049,0.731,0.194,0.075,0.133650264,0.587032223
919,0.211815583,0.123760558,0.158898831,0.212626702,0.103333643,0.105,0.551,0.345,0.189564684,0.536869401
920,0.551534701,0.119010969,0.043811417,0.096103322,0.034670684,0.961,0.034,0.004,0.154868908,0.436012111
921,0.05833522,0.06667559,0.190552828,0.202632356,0.423869376,0.161,0.584,0.255,0.057934631,0.363853427
922,0.546860234,0.067368895,0.03583579,0.090801878,0.033386444,0.936,0.053,0.012,0.225746759,0.445264008
923,0.154525539,0.126253262,0.225494912,0.216171031,0.165519939,0.238,0.31,0.453,0.112035317,0.425805065
